Subject,Student ID,Score
Sociology,1,71
Sociology,2,71
Sociology,3,71
Sociology,4,70
Sociology,5,71
Sociology,6,71
Sociology,7,70
Sociology,8,83
Sociology,9,46
Sociology,10,70
Sociology,11,71
Sociology,12,71
Sociology,13,71
Sociology,14,70
Sociology,15,71
Sociology,16,71
Sociology,17,11
Sociology,18,71
Sociology,19,59
Sociology,20,73
Sociology,21,72
Sociology,22,71
Sociology,23,80
Sociology,24,59
Sociology,25,70
Sociology,26,71
Sociology,27,72
Sociology,28,71
Sociology,29,71
Sociology,30,70
Sociology,31,67
Sociology,32,71
Sociology,33,59
Sociology,34,71
Sociology,35,75
Sociology,36,66
Sociology,37,71
Sociology,38,71
Sociology,39,59
Sociology,40,77
Sociology,41,71
Sociology,42,71
Sociology,43,58
Sociology,44,71
Sociology,45,70
Sociology,46,71
Sociology,47,75
Sociology,48,70
Sociology,49,59
Sociology,50,71
Sociology,51,71
Sociology,52,66
Sociology,53,72
Sociology,54,90
Sociology,55,71
Sociology,56,71
Sociology,57,58
Sociology,58,71
Sociology,59,71
Sociology,60,70
Sociology,61,71
Sociology,62,80
Sociology,63,71
Sociology,64,58
Sociology,65,71
Sociology,66,71
Sociology,67,70
Sociology,68,71
Sociology,69,71
Sociology,70,71
Sociology,71,71
Sociology,72,78
Sociology,73,66
Sociology,74,71
Sociology,75,75
Sociology,76,85
Sociology,77,71
Sociology,78,71
Sociology,79,71
Sociology,80,71
Sociology,81,46
Sociology,82,70
Sociology,83,84
Sociology,84,71
Sociology,85,70
Sociology,86,71
Sociology,87,71
Sociology,88,80
Sociology,89,71
Sociology,90,55
Sociology,91,71
Sociology,92,66
Sociology,93,71
Sociology,94,71
Sociology,95,71
Sociology,96,71
Sociology,97,66
Sociology,98,71
Sociology,99,80
Sociology,100,71
Sociology,101,71
Sociology,102,71
Sociology,103,71
Sociology,104,71
Sociology,105,92
Sociology,106,75
Sociology,107,71
Sociology,108,71
Sociology,109,71
Sociology,110,71
Sociology,111,78
Sociology,112,71
Sociology,113,71
Sociology,114,84
Sociology,115,78
Sociology,116,71
Sociology,117,67
Sociology,118,70
Sociology,119,99
Sociology,120,71
Sociology,121,71
Sociology,122,71
Sociology,123,71
Sociology,124,71
Sociology,125,71
Sociology,126,70
Sociology,127,90
Sociology,128,71
Sociology,129,59
Sociology,130,71
Sociology,131,56
Sociology,132,42
Sociology,133,66
Sociology,134,70
Sociology,135,71
Sociology,136,71
Sociology,137,58
Sociology,138,66
Sociology,139,71
Sociology,140,71
Sociology,141,70
Sociology,142,72
Sociology,143,70
Sociology,144,75
Sociology,145,71
Sociology,146,71
Sociology,147,71
Sociology,148,72
Sociology,149,94
Sociology,150,68
Sociology,151,70
Sociology,152,71
Sociology,153,36
Sociology,154,72
Sociology,155,71
Sociology,156,72
Sociology,157,72
Sociology,158,72
Sociology,159,72
Sociology,160,72
Sociology,161,72
Sociology,162,72
Sociology,163,71
Sociology,164,70
Sociology,165,71
Sociology,166,71
Sociology,167,71
Sociology,168,72
Sociology,169,72
Sociology,170,72
Sociology,171,72
Sociology,172,71
Sociology,173,71
Sociology,174,71
Sociology,175,96
Sociology,176,59
Sociology,177,81
Sociology,178,71
Sociology,179,71
Sociology,180,71
Sociology,181,59
Sociology,182,57
Sociology,183,59
Sociology,184,72
Sociology,185,72
Sociology,186,72
Sociology,187,72
Sociology,188,75
Sociology,189,72
Sociology,190,91
Sociology,191,71
Sociology,192,71
Sociology,193,78
Sociology,194,59
Sociology,195,77
Sociology,196,72
Sociology,197,84
Sociology,198,75
Sociology,199,72
Sociology,200,72
Sociology,201,72
Sociology,202,72
